algorithm,file,min_sup,runtime,patterns,memory,time_to_read
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,0.31371068954467773,53361,821.6875,0.005063772201538086
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,5.872064828872681,53361,782.1875,0.005587339401245117
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,1.6399414539337158,53361,884.1875,0.00539398193359375
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,0.32530736923217773,53361,870.1875,0.05834507942199707
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,6.235692024230957,53361,825.625,0.05829334259033203
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,1.7737250328063965,53361,934.8125,0.06275558471679688
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,1.06734,53361,64,0.0548389
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,50,2.07529,53360,542,0.0384487
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,0.971447229385376,96895,898.75,0.0045778751373291016
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,21.66116952896118,96895,956.6875,0.006371974945068359
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,7.073950529098511,96895,884.6875,0.005141496658325195
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,0.9847006797790527,96895,952.6875,0.06309390068054199
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,21.816916465759277,96895,972.6875,0.06526708602905273
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,7.398026466369629,96895,1020.6875,0.06284761428833008
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,2.36538,96895,77,0.0670086
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,25,2.31709,96895,798,0.0444692
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,4.327869415283203,410665,1178.6875,0.00548863410949707
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,83.68934202194214,410666,1128.125,0.0070307254791259766
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,30.1737699508667,410666,1111.75,0.005246400833129883
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,3.781114339828491,410666,1112.25,0.057015180587768555
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,77.13938045501709,410666,1204.4375,0.057547807693481445
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,32.83686971664429,410666,1182.5625,0.057035207748413086
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,20.2353,410666,178,0.0550363
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,10,2.96928,410638,1408,0.0406946
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,12.89068078994751,1914418,1662.5625,0.01208186149597168
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,243.0691328048706,1914435,1444.375,0.006064414978027344
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,101.90267872810364,1914435,1415.6875,0.006121635437011719
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,11.866554021835327,1914435,1666.6875,0.06727766990661621
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,235.89590549468994,1914435,1485.4375,0.0668802261352539
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,91.78197813034058,1914435,1607.875,0.07106304168701172
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,521.198,1914435,660,0.0554412
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_T10I4D100K.csv,5,5.51698,1909969,3287,0.0413234
