algorithm,file,min_sup,runtime,patterns,memory,time_to_read
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,0.4392218589782715,166432,1081.5625,0.2596924304962158
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,1.0976388454437256,166432,1078.4375,0.004747629165649414
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,0.19502544403076172,166432,1070.125,0.002010345458984375
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,0.23531079292297363,166432,1067.625,0.06530046463012695
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,1.2225797176361084,166432,1057.8125,0.03132176399230957
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,0.22226619720458984,166432,1047.875,0.030971050262451172
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,2000,0.378207,156857,259,0.00488348
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,0.26530003547668457,278477,1037.875,0.0016274452209472656
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,1.9360694885253906,278477,1031.0,0.002006053924560547
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,0.32757139205932617,278477,1016.75,0.0017223358154296875
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,0.2839632034301758,278477,998.5,0.029839038848876953
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,1.94478178024292,278477,978.4375,0.029801368713378906
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,0.35727477073669434,278477,1090.3125,0.030397891998291016
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1900,0.619169,257316,420,0.0136665
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,0.4510021209716797,464289,1073.875,0.0020990371704101562
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,3.3662428855895996,464289,1000.1875,0.003239870071411133
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,0.5750453472137451,464289,976.1875,0.002003908157348633
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,0.4818260669708252,464289,952.125,0.030652284622192383
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,3.390634298324585,464289,1055.75,0.03225421905517578
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,0.5834348201751709,464289,1030.125,0.030243396759033203
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1800,0.993818,431241,702,0.00509672
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,0.7512104511260986,767004,1003.75,0.001875162124633789
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,5.480971813201904,767004,965.875,0.0021419525146484375
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,0.9483435153961182,767004,1053.75,0.0020613670349121094
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,0.7698359489440918,767004,1013.75,0.0303952693939209
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,5.583960294723511,767004,975.75,0.03235745429992676
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,0.9728388786315918,767004,1063.75,0.030550479888916016
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1700,1.67029,702726,1169,0.00435225
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,1.3235538005828857,1260392,1069.9375,0.0019996166229248047
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,9.996764421463013,1260392,1095.1875,0.0022859573364257812
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,1.6612231731414795,1260392,1037.375,0.0019366741180419922
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,1.2912156581878662,1260392,1105.0625,0.03107595443725586
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,9.631866931915283,1260392,1035.125,0.0308229923248291
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,1.736872911453247,1260392,1103.3125,0.030355215072631836
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_chess1.csv,1600,2.95134,1143134,1929,0.00584316
