algorithm,file,min_sup,runtime,patterns,memory,time_to_read
cuFPMiner_bit_csv,../../datasets/transactional/Transactional_kosarak.csv,2000,5.195376873016357,34211,6206.1875,0.12742900848388672
cuFPMiner_hash_csv,../../datasets/transactional/Transactional_kosarak.csv,2000,32.993237018585205,34211,1310.1875,0.10930466651916504
cuFPMiner_hash_shared_csv,../../datasets/transactional/Transactional_kosarak.csv,2000,9.910112380981445,34211,1416.625,0.10866475105285645
fpgrowth 16 threads,../../datasets/transactional/Transactional_kosarak.csv,2000,107.004,34213,8785,1.19824
cuFPMiner_bit_csv,../../datasets/transactional/Transactional_kosarak.csv,3000,1.254390001296997,4890,6062.25,0.12774991989135742
cuFPMiner_hash_csv,../../datasets/transactional/Transactional_kosarak.csv,3000,8.51656985282898,4890,1224.6875,0.11385965347290039
cuFPMiner_hash_shared_csv,../../datasets/transactional/Transactional_kosarak.csv,3000,2.405083656311035,4890,1198.75,0.11374759674072266
fpgrowth 16 threads,../../datasets/transactional/Transactional_kosarak.csv,3000,36.4337,4890,5976,1.06231
cuFPMiner_bit_csv,../../datasets/transactional/Transactional_kosarak.csv,4000,0.9330990314483643,2469,6029.125,0.12831926345825195
cuFPMiner_hash_csv,../../datasets/transactional/Transactional_kosarak.csv,4000,3.3824007511138916,2469,1190.0,0.10741305351257324
cuFPMiner_hash_shared_csv,../../datasets/transactional/Transactional_kosarak.csv,4000,1.139284372329712,2469,1166.0,0.11122846603393555
fpgrowth 16 threads,../../datasets/transactional/Transactional_kosarak.csv,4000,19.1234,2469,4361,1.04791
cuFPMiner_bit_csv,../../datasets/transactional/Transactional_kosarak.csv,5000,0.9178867340087891,1591,6003.0625,0.12855291366577148
cuFPMiner_hash_csv,../../datasets/transactional/Transactional_kosarak.csv,5000,1.902634859085083,1591,1165.9375,0.10686039924621582
cuFPMiner_hash_shared_csv,../../datasets/transactional/Transactional_kosarak.csv,5000,0.644603967666626,1591,1269.9375,0.10666823387145996
fpgrowth 16 threads,../../datasets/transactional/Transactional_kosarak.csv,5000,12.4681,1591,3574,0.983342
cuFPMiner_bit_csv,../../datasets/transactional/Transactional_kosarak.csv,6000,0.9112558364868164,1110,6300.6875,0.12182331085205078
cuFPMiner_hash_csv,../../datasets/transactional/Transactional_kosarak.csv,6000,1.2239267826080322,1110,1457.5625,0.10886931419372559
cuFPMiner_hash_shared_csv,../../datasets/transactional/Transactional_kosarak.csv,6000,0.5172328948974609,1110,1429.5625,0.11671662330627441
fpgrowth 16 threads,../../datasets/transactional/Transactional_kosarak.csv,6000,7.99038,1110,2639,1.05258
