algorithm,file,min_sup,runtime,patterns,memory,time_to_read
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,0.11536622047424316,36471,1143.5,0.05617403984069824
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,3.081953525543213,36471,1181.375,0.044455528259277344
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,0.2790851593017578,36471,1123.6875,0.04570364952087402
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,0.12558364868164062,36471,1209.6875,0.07594871520996094
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,3.1593387126922607,36471,1212.8125,0.0774085521697998
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,0.31054162979125977,36471,1128.375,0.07605600357055664
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,5.23613,36471,3296,0.153534
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,41000,0.784171,29636,260,0.118805
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,0.14278650283813477,79060,1142.875,0.04522395133972168
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,6.715980052947998,79060,1072.875,0.04569435119628906
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,0.5294673442840576,79060,1134.875,0.04597926139831543
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,0.16507482528686523,79060,1092.875,0.07855939865112305
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,6.801046371459961,79060,1120.4375,0.07683157920837402
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,0.5445208549499512,79060,1164.4375,0.07706904411315918
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,10.126,79060,7452,0.153945
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,40000,0.832692,61074,310,0.104413
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,0.30638670921325684,165835,930.4375,0.0496830940246582
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,14.809635400772095,165835,960.4375,0.045999765396118164
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,1.0533623695373535,165835,900.4375,0.04616427421569824
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,0.2517552375793457,165835,984.4375,0.07517099380493164
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,15.131709337234497,165835,1008.4375,0.07643246650695801
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,1.0903499126434326,165835,1048.4375,0.07575511932373047
apriori 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,21.2502,165835,15198,0.152138
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,39000,1.0405,110933,403,0.128911
cuFPMiner_bit_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,0.41443419456481934,316312,942.75,0.060648441314697266
cuFPMiner_hash_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,27.940675258636475,316312,1014.5,0.04468536376953125
cuFPMiner_hash_shared_csv,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,1.8788626194000244,316312,945.5625,0.04457688331604004
cuFPMiner_bit_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,0.3825993537902832,316312,1027.5625,0.06955218315124512
cuFPMiner_hash_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,28.031902313232422,316312,1038.3125,0.07240557670593262
cuFPMiner_hash_shared_parquet,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,1.904581069946289,316312,955.0,0.07041001319885254
fpgrowth 16 threads,/home/tarun/cuPAMI/datasets/Transactional_pumsb.csv,38000,1.3505,189614,549,0.128911
